Station_Name,Station_Number,Source,Latitude,Longitude,Time_Available,Data_Available,Frequency,Notes
ArthursAWS_ScreenObs_Hourly,41489,Cliflo,-42.94461,171.56415,"2012-01-01 01:00:00, 2014-01-01 00:00:00","['Time', 'Air_Temp', 'Rel_Humidity', 'Dew_Point', 'Wet_Bulb_Temp']",Hourly,
ArthursEWS_Hourly,25821,Cliflo,-42.94152,171.56285,"2005-01-01 01:00:00, 2011-01-01 00:00:00","['Time', 'Air_Temp', 'Rel_Humidity', 'Air_Temp_Min', 'Air_temp_Max']",Hourly,
ArthursEWS_Daily,25821,Cliflo,-42.94152,171.56285,"2005-01-01 00:00:00, 2023-01-01 00:00:00","['Time', 'Li200', 'Air_Temp', 'Air_Temp_Min', 'Air_Temp_Max', 'Rain']",Daily,
ArthursCombined_Daily,4513,Cliflo,-42.94152,171.56285,"1978-01-01 00:00:00, 2016-01-01 00:00:00","['Time', 'Li200', 'Air_Temp_Min', 'Air_Temp_Max', 'Rain']",Daily,
ArthursWind_Daily,4513,Cliflo,-42.94152,171.56285,"1962-01-01 09:00:00, 2012-01-01 09:00:00","['Time', 'Wind_Speed', 'Wind_Dir']",Daily,
ArthursTemps_Daily,4513,Cliflo,-42.94152,171.56285,"1978-01-01 09:00:00, 2023-01-01 09:00:00","['Time', 'Air_Temp', 'Rel_Humidity', 'Air_Temp_Min', 'Air_Temp_Max']",Daily,
BealeyRain_Daily,4639,Cliflo,-43.033,171.65,"1952-01-01 09:00:00, 1958-01-01 09:00:00","['Time', 'Rain']",Daily,
BrokenRiverCombined_Daily,4647,Cliflo,-43.129,171.682,"1966-01-01 00:00:00, 1987-01-01 00:00:00","['Time', 'Li200', 'Air_Temp_Min', 'Air_Temp_Max', 'Rain']",Daily,
BrokenRiverRain_Daily,4647,Cliflo,-43.129,171.682,"1966-01-01 09:00:00, 1987-01-01 09:00:00","['Time', 'Rain']",Daily,
BrokenRiverWind_Daily,4648,Cliflo,-43.129,171.682,"1966-01-01 09:00:00, 1983-01-01 09:00:00","['Time', 'Wind_Speed', 'Wind_Dir']",Daily,
BrokenRiverTemp_Daily,4647,Cliflo,-43.129,171.682,"1966-01-01 09:00:00, 1987-01-01 09:00:00","['Time', 'Air_Temp', 'Rel_Humidity', 'Air_Temp_Min', 'Air_Temp_Max']",Daily,
CampStreamCombined_Daily,4652,Cliflo,-43.13,171.706,"1966-01-01 00:00:00, 1975-01-01 00:00:00","['Time', 'Li200', 'Air_Temp_Min', 'Air_Temp_Max', 'Rain']",Daily,
CampStreamWind_Daily,4652,Cliflo,-43.13,171.706,"1966-01-01 09:00:00, 1975-01-01 09:00:00","['Time', 'Wind_Speed', 'Wind_Dir']",Daily,
CampStreamRain_Daily,4652,Cliflo,-43.13,171.706,"1966-01-01 09:00:00, 1975-01-01 09:00:00","['Time', 'Rain']",Daily,
CastleHillRain_Daily,4663,Cliflo,-43.212,171.715,"1950-01-01 09:00:00, 2008-01-01 09:00:00","['Time', 'Rain']",Daily,
ClifloArthursRain_Daily,4513,Cliflo,-42.94152,171.56285,"1950-01-01 09:00:00, 2023-01-01 09:00:00","['Time', 'Rain']",Daily,
ArthursStoreRain_Daily,4514,Cliflo,-42.941,171.56,"1958-01-01 09:00:00, 1992-01-01 09:00:00","['Time', 'Rain']",Daily,
CragieburnForestWind_Daily,4651,Cliflo,-43.154,171.714,"1964-01-01 09:00:00, 1982-01-01 09:00:00","['Time', 'Wind_Speed', 'Wind_Dir']",Daily,
CragieburnForestCombined_Daily,4651,Cliflo,-43.154,171.714,"1964-01-01 00:00:00, 1987-01-01 00:00:00","['Time', 'Li200', 'Air_Temp_Min', 'Air_Temp_Max', 'Rain']",Daily,
CragieburnForestRain_Daily,4651,Cliflo,-43.154,171.714,"1964-01-01 09:00:00, 2014-01-01 09:00:00","['Time', 'Rain']",Daily,
CragieburnForestTemps_Daily,4651,Cliflo,-43.154,171.714,"1964-01-01 09:00:00, 2014-01-01 09:00:00","['Time', 'Air_Temp', 'Rel_Humidity', 'Air_Temp_Min', 'Air_Temp_Max']",Daily,
CragieburnStnRain_Daily,4651,Cliflo,-43.103,171.865,"1954-01-01 09:00:00, 1973-01-01 09:00:00","['Time', 'Rain']",Daily,
FlockhillRain_Daily,4650,Cliflo,-43.132,171.772,"1950-01-01 09:00:00, 1975-01-01 09:00:00","['Time', 'Rain']",Daily,
OldCassRain_Daily,4641,Cliflo,-43.037,171.755,"1958-01-01 09:00:00, 1976-01-01 09:00:00","['Time', 'Rain']",Daily,
Chilton_Daily,,UC,-43.03513309,171.769882,"1986-01-01 00:00:00, 2007-01-01 00:00:00","['Time', 'Li200', 'Air_Temp', 'Soil_Temp', 'Ground_Temp', 'Rel_Humidity', 'Wind_Speed', 'Air_Temp_Min', 'Air_Temp_Min_Time', 'Air_Temp_Max', 'Air_Temp_Max_Time', 'Rain', '5m_Air_Temp', '12m_Air_Temp']",Daily,
Chilton_Hourly,,UC,-43.03513309,171.769882,"1986-01-01 01:00:00, 2007-01-01 00:00:00","['Time', 'Li200', 'Air_Temp', 'Ground_Temp', 'Rel_Humidity', 'Wind_Speed', 'Wind_Dir', 'Wind_Dir_STD', 'Rain', '5m_Air_Temp', '12m_Air_Temp', 'Soil_Temp', 'Dew_Point']",Hourly,
Cass_Daily,44637,UC,-43.03447,171.75999,"1997-01-01 00:00:00, 2020-12-31 00:00:00","['Time', 'Li190', 'Li200', 'Air_Temp', '10cm_Soil_Temp', '20cm_Soil_Temp', '50cm_Soil_Temp', 'Rel_Humidity', '10cm_Soil_Moisture', '20cm_Soil_Moisture', '50cm_Soil_Moisture', 'Wind_Speed', 'Wind_Dir', 'Air_Temp_Min', 'Air_Temp_Min_Time', '10cm_Soil_Temp_Min', '10cm_Soil_Temp_Min_Time', '20cm_Soil_Temp_Min', '20cm_Soil_Temp_Min_Time', '50cm_Soil_Temp_Min', '50cm_Soil_Temp_Min_Time', 'Ground_Temp_Min_Time', 'Rel_Humidity_Min', 'Rel_Humidity_Min_Time', '10cm_Soil_Moisture_Min', '10cm_Soil_Moisture_Min_Time', '20cm_Soil_Moisture_Min', '20cm_Soil_Moisture_Min_Time', '50cm_Soil_Moisture_Min', '50cm_Soil_Moisture_Min_Time', 'Wind_Speed_Min', 'Wind_Speed_Min_Time', 'Li190_Max', 'Li190_Max_Time', 'Li200_Max', 'Li200_Max_Time', 'Air_Temp_Max', 'Air_Temp_Max_Time', '10cm_Soil_Temp_Max', '10cm_Soil_Temp_Max_Time', '20cm_Soil_Temp_Max', '20cm_Soil_Temp_Max_Time', '50cm_Soil_Temp_Max', '50cm_Soil_Temp_Max_Time', 'Rel_Humidity_Max', 'Rel_Humidity_Max_Time', '10cm_Soil_Moisture_Max', '10cm_Soil_Moisture_Max_Time', '20cm_Soil_Moisture_Max', '20cm_Soil_Moisture_Max_Time', '50cm_Soil_Moisture_Max', '50cm_Soil_Moisture_Max_Time', 'Wind_Speed_Max', 'Wind_Speed_Max_Time', 'Rain', 'Ground_Temp', 'Ground_Temp_Min', 'Ground_Temp_Max', 'Ground_Temp_Max_Time', 'Battery_V']",Daily,
Cass_Hourly,44637,UC,-43.03447,171.75999,"1997-01-01 01:00:00, 2021-01-01 00:00:00","['Time', 'Li190', 'Li200', 'Air_Temp', '10cm_Soil_Temp', '20cm_Soil_Temp', '50cm_Soil_Temp', 'Rel_Humidity', '10cm_Soil_Moisture', '20cm_Soil_Moisture', '50cm_Soil_Moisture', 'Wind_Speed', 'Wind_Dir', 'Air_Temp_Min', '10cm_Soil_Temp_Min', '20cm_Soil_Temp_Min', '50cm_Soil_Temp_Min', 'Rel_Humidity_Min', '10cm_Soil_Moisture_Min', '20cm_Soil_Moisture_Min', '50cm_Soil_Moisture_Min', 'Wind_Speed_Min', 'Li190_Max', 'Li200_Max', 'Air_temp_Max', '10cm_Soil_Temp_Max', '20cm_Soil_Temp_Max', '50cm_Soil_Temp_Max', 'Rel_Humidity_Max', '10cm_Soil_Moisture_Max', '20cm_Soil_Moisture_Max', '50cm_Soil_Moisture_Max', 'Wind_Speed_Max', 'Windrun', 'Gust_Speed', 'Gust_Dir', 'Wind_Speed_2', 'Wind_Dir_2', 'Wind_Dir_STD', 'Ground_Temp', 'Ground_Temp_Min', 'Ground_Temp_Max', 'Air_Temp_10Day', 'Rel_Humidity_10Day', 'Wind_Speed_10Day', 'Wind_Dir_10Day', 'Rain', 'BatVolt']",Hourly,
CarringtonRain_Daily,310510,Ecan,-42.96285629,171.4485169,"1989-01-01 00:00:00, 2023-01-01 00:00:00","['Time', 'Rain']",Daily,
EskRain_Daily,311910,Ecan,-43.11771774,171.9630432,"1990-01-01 00:00:00, 2023-01-01 00:00:00","['Time', 'Rain']",Daily,
ArthursRain_Daily,219510,Ecan,-42.94159698,171.5629883,"1955-01-01 00:00:00, 2023-01-01 00:00:00","['Time', 'Rain']",Daily,
GrasmereRain_Daily,311810,Ecan,-43.05627823,171.7677612,"1985-01-01 00:00:00, 2023-01-01 00:00:00","['Time', 'Rain']",Daily,
MtWhiteRain_Daily,,Cliflo,-43.054,171.936,"1950-01-01 09:00:00, 2005-01-01 09:00:00","['Time', 'Rain']",Daily ,
HarperRiverTemps_Daily,4657,Cliflo,-43.213,171.461,"1987-01-01 08:00:00, 2009-01-01 08:00:00","['Time', 'Air_Temp', 'Rel_Humidity', 'Air_Temp_Min', 'Air_Temp_Max']",Daily,
OtiraRain_Daily,4001,Cliflo,-42.833,171.563,,,Daily,
OtiraTemps_Daily,4001,Cliflo,-42.833,171.563,"1973-01-01 09:00:00, 1988-01-01 09:00:00","['Time', 'Air_Temp', 'Rel_Humidity', 'Air_Temp_Min', 'Air_Temp_Max']",Daily,
MtPhilistineEWSCombined_Daily,38103,Cliflo,-42.88314,171.53229,"2010-01-01 00:00:00, 2023-01-01 00:00:00","['Time', 'Air_Temp', 'Air_Temp_Min', 'Air_Temp_Max', 'Rain']",Daily,
MtPhilistineTemps_Daily,38103,Cliflo,-42.88314,171.53229,"2010-01-01 09:00:00, 2023-01-01 09:00:00","['Time', 'Air_Temp', 'Rel_Humidity', 'Air_Temp_Min', 'Air_Temp_Max']",Daily,
